基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
014282,中信保诚成长动力混合C,中信保诚基金,混合型-偏股,20/07/31～20/09/04,,2021-11-25,-12.45,张弘,限大额,0.0
009913,中信保诚成长动力混合A,中信保诚基金,混合型-偏股,20/07/31～20/09/04,11.05,2020-09-09,45.06,张弘,开放申购,0.15
009899,上银内需增长股票A,上银基金,股票型,20/07/31～20/08/19,2.99,2020-08-24,-13.49,赵治烨,开放申购,0.15
015754,上银内需增长股票C,上银基金,股票型,20/07/31～20/08/19,,2022-05-20,6.14,赵治烨,开放申购,0.0
009874,九泰久睿量化股票A,九泰基金,股票型,20/07/31～20/08/11,19.13,2020-08-14,-20.25,孟亚强,开放申购,1.5
016399,九泰久睿量化股票C,九泰基金,股票型,20/07/31～20/08/11,,2022-08-03,-10.97,孟亚强,开放申购,0.0
009891,融通产业趋势臻选股票,融通基金,股票型,20/07/30～20/08/12,18.81,2020-08-17,7.98,"王迪,李进",开放申购,0.15
009609,广发中证500指数增强C,广发基金,指数型-股票,20/07/29～20/10/13,5.19,2020-10-15,2.64,赵杰,开放申购,0.0
009608,广发中证500指数增强A,广发基金,指数型-股票,20/07/29～20/10/13,5.19,2020-10-15,3.67,赵杰,开放申购,0.15
009774,财通资管优选回报一年持有期混合,财通资管,混合型-偏股,20/07/29～20/08/31,18.31,2020-09-02,-31.74,于洋,开放申购,0.15
009240,泰康蓝筹优势一年持有股票,泰康基金,股票型,20/07/29～20/08/11,8.77,2020-08-14,12.51,桂跃强,开放申购,0.15
009596,泰康创新成长混合A,泰康基金,混合型-偏股,20/07/28～20/09/01,26.87,2020-09-07,-2.97,薛小波,开放申购,0.15
009597,泰康创新成长混合C,泰康基金,混合型-偏股,20/07/28～20/09/01,26.87,2020-09-07,-4.22,薛小波,开放申购,0.0
009952,广发稳健回报混合C,广发基金,混合型-平衡,20/07/28～20/08/13,148.56,2020-08-17,-12.02,"傅友兴,观富钦,王瑞冬",开放申购,0.0
009951,广发稳健回报混合A,广发基金,混合型-平衡,20/07/28～20/08/13,148.56,2020-08-17,-11.09,"傅友兴,观富钦,王瑞冬",开放申购,0.15
009876,天弘甄选食品饮料股票C,天弘基金,股票型,20/07/27～20/08/17,1.08,2020-08-20,15.25,于洋,开放申购,0.0
009875,天弘甄选食品饮料股票A,天弘基金,股票型,20/07/27～20/08/17,1.08,2020-08-20,15.87,于洋,开放申购,0.12
012600,中银内核驱动股票C,中银基金,股票型,20/07/27～20/08/14,,2021-06-11,-37.92,吴印,开放申购,0.0
009877,中银内核驱动股票A,中银基金,股票型,20/07/27～20/08/14,17.21,2020-08-18,-21.82,吴印,开放申购,0.15
009932,永赢稳健增长一年持有混合A,永赢基金,混合型-偏债,20/07/27～20/08/07,12.47,2020-08-11,13.82,"常远,乔嘉麒",开放申购,0.04
009070,大成睿鑫股票C,大成基金,股票型,20/07/27～20/08/07,23.3,2020-08-11,10.71,刘旭,开放申购,0.0
009069,大成睿鑫股票A,大成基金,股票型,20/07/27～20/08/07,23.3,2020-08-11,11.89,刘旭,开放申购,0.15
009907,湘财长泽灵活配置混合A,湘财基金,混合型-灵活,20/07/27～20/08/07,7.92,2020-08-13,51.5,徐亦达,开放申购,0.15
012442,永赢稳健增长一年持有混合E,永赢基金,混合型-偏债,20/07/27～20/08/07,,2021-05-24,0.63,"常远,乔嘉麒",开放申购,0.0
009908,湘财长泽灵活配置混合C,湘财基金,混合型-灵活,20/07/27～20/08/07,7.92,2020-08-13,49.51,徐亦达,开放申购,0.0
009564,汇安消费龙头混合A,汇安基金,混合型-偏股,20/07/27～20/08/06,24.97,2020-08-11,-13.37,戴杰,开放申购,0.15
009565,汇安消费龙头混合C,汇安基金,混合型-偏股,20/07/27～20/08/06,24.97,2020-08-11,-14.52,戴杰,开放申购,0.0
009151,国寿策略优选3个月持有混合(FOF),国寿安保基金,FOF,20/07/27～20/08/03,4.99,2020-08-06,8.61,张志雄,开放申购,0.08
